name,date,time,value
pm1,1/1/2009,0:00:00,0
pm2p5,1/1/2009,0:00:00,0
pm10,1/1/2009,0:00:00,0
U10M,1/1/2009,0:00:00,0.489557
V10M,1/1/2009,0:00:00,-7.0886
T2M,1/1/2009,0:00:00,280.933
D2M,1/1/2009,0:00:00,266.898
pm1,1/1/2009,3:00:00,7.29E-11
pm2p5,1/1/2009,3:00:00,9.81E-11
pm10,1/1/2009,3:00:00,1.46E-10
U10M,1/1/2009,3:00:00,-0.360073
V10M,1/1/2009,3:00:00,-5.99845
T2M,1/1/2009,3:00:00,280.938
D2M,1/1/2009,3:00:00,264.949
pm1,1/1/2009,6:00:00,7.94E-10
pm2p5,1/1/2009,6:00:00,1.07E-09
pm10,1/1/2009,6:00:00,1.60E-09
U10M,1/1/2009,6:00:00,-0.410713
V10M,1/1/2009,6:00:00,-5.36492
T2M,1/1/2009,6:00:00,280.73
D2M,1/1/2009,6:00:00,265.597
pm1,1/1/2009,9:00:00,1.45E-09
pm2p5,1/1/2009,9:00:00,1.93E-09
pm10,1/1/2009,9:00:00,2.86E-09
U10M,1/1/2009,9:00:00,-0.674326
V10M,1/1/2009,9:00:00,-3.21406
T2M,1/1/2009,9:00:00,281.68
D2M,1/1/2009,9:00:00,268.835
pm1,1/1/2009,12:00:00,1.27E-11
pm2p5,1/1/2009,12:00:00,1.62E-11
pm10,1/1/2009,12:00:00,2.37E-11
U10M,1/1/2009,12:00:00,1.06351
V10M,1/1/2009,12:00:00,-1.25201
T2M,1/1/2009,12:00:00,281.397
D2M,1/1/2009,12:00:00,270.624
pm1,1/1/2009,15:00:00,2.79E-10
pm2p5,1/1/2009,15:00:00,3.31E-10
pm10,1/1/2009,15:00:00,4.71E-10
U10M,1/1/2009,15:00:00,1.6134
V10M,1/1/2009,15:00:00,-1.31972
T2M,1/1/2009,15:00:00,282.615
D2M,1/1/2009,15:00:00,271.682
pm1,1/1/2009,18:00:00,5.13E-10
pm2p5,1/1/2009,18:00:00,6.11E-10
pm10,1/1/2009,18:00:00,8.71E-10
U10M,1/1/2009,18:00:00,0.757331
V10M,1/1/2009,18:00:00,-1.42563
T2M,1/1/2009,18:00:00,283.932
D2M,1/1/2009,18:00:00,273.542
pm1,1/1/2009,21:00:00,6.63E-10
pm2p5,1/1/2009,21:00:00,7.90E-10
pm10,1/1/2009,21:00:00,1.13E-09
U10M,1/1/2009,21:00:00,-9.80E-05
V10M,1/1/2009,21:00:00,-0.54756
T2M,1/1/2009,21:00:00,282.964
D2M,1/1/2009,21:00:00,274.351
pm1,1/2/2009,0:00:00,2.77E-09
pm2p5,1/2/2009,0:00:00,3.32E-09
pm10,1/2/2009,0:00:00,4.75E-09
U10M,1/2/2009,0:00:00,0.169371
V10M,1/2/2009,0:00:00,-0.320063
T2M,1/2/2009,0:00:00,281.711
D2M,1/2/2009,0:00:00,274.116
pm1,1/2/2009,3:00:00,2.79E-09
pm2p5,1/2/2009,3:00:00,3.34E-09
