"","Beta_Version_CCS_Category","Beta_Version_CCS_Category_Description","count"
"1",1,"Tuberculosis",2
"2",2,"Septicemia (except in labor)",129
"3",3,"Bacterial infection; unspecified site",44
"4",4,"Mycoses",32
"5",6,"Hepatitis",7
"6",7,"Viral infection",2310
"7",8,"Other infections; including parasitic",57
"8",9,"Sexually transmitted infections (not HIV or hepatitis)",4
"9",10,"Immunizations and screening for infectious disease",12
"10",11,"Cancer of head and neck",2
"11",12,"Cancer of esophagus",1
"12",13,"Cancer of stomach",3
"13",14,"Cancer of colon",4
"14",15,"Cancer of rectum and anus",2
"15",16,"Cancer of liver and intrahepatic bile duct",5
"16",17,"Cancer of pancreas",14
"17",18,"Cancer of other GI organs; peritoneum",2
"18",19,"Cancer of bronchus; lung",16
"19",21,"Cancer of bone and connective tissue",5
"20",22,"Melanomas of skin",1
"21",24,"Cancer of breast",8
"22",27,"Cancer of ovary",3
"23",29,"Cancer of prostate",6
"24",32,"Cancer of bladder",2
"25",33,"Cancer of kidney and renal pelvis",5
"26",34,"Cancer of other urinary organs",1
"27",35,"Cancer of brain and nervous system",3
"28",36,"Cancer of thyroid",1
"29",37,"Hodgkin`s disease",2
"30",38,"Non-Hodgkin`s lymphoma",11
"31",39,"Leukemias",49
"32",40,"Multiple myeloma",7
"33",41,"Cancer; other and unspecified primary",6
"34",42,"Secondary malignancies",39
"35",43,"Malignant neoplasm without specification of site",9
"36",44,"Neoplasms of unspecified nature or uncertain behavior",32
"37",45,"Maintenance chemotherapy; radiotherapy",3
"38",46,"Benign neoplasm of uterus",5
"39",47,"Other and unspecified benign neoplasm",31
"40",48,"Thyroid disorders",29
"41",49,"Diabetes mellitus without complication",55
"42",50,"Diabetes mellitus with complications",68
"43",51,"Other endocrine disorders",31
"44",52,"Nutritional deficiencies",5
"45",53,"Disorders of lipid metabolism",2
"46",54,"Gout and other crystal arthropathies",36
"47",55,"Fluid and electrolyte disorders",305
"48",57,"Immunity disorders",13
"49",58,"Other nutritional; endocrine; and metabolic disorders",95
"50",59,"Deficiency and other anemia",166
"51",61,"Sickle cell anemia",32
"52",62,"Coagulation and hemorrhagic disorders",82
"53",63,"Diseases of white blood cells",209
"54",64,"Other hematologic conditions",9
"55",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)",31
"56",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)",11
"57",79,"Parkinson`s disease",3
"58",80,"Multiple sclerosis",11
"59",81,"Other hereditary and degenerative nervous system conditions",19
"60",82,"Paralysis",4
"61",83,"Epilepsy; convulsions",248
"62",84,"Headache; including migraine",1312
"63",85,"Coma; stupor; and brain damage",42
"64",86,"Cataract",1
"65",87,"Retinal detachments; defects; vascular occlusion; and retinopathy",24
"66",88,"Glaucoma",12
"67",89,"Blindness and vision defects",43
"68",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)",276
"69",91,"Other eye disorders",298
"70",92,"Otitis media and related conditions",711
"71",93,"Conditions associated with dizziness or vertigo",1237
"72",94,"Other ear and sense organ disorders",462
"73",95,"Other nervous system disorders",433
"74",96,"Heart valve disorders",13
"75",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)",43
"76",98,"Essential hypertension",504
"77",99,"Hypertension with complications and secondary hypertension",88
"78",100,"Acute myocardial infarction",152
"79",101,"Coronary atherosclerosis and other heart disease",124
"80",102,"Nonspecific chest pain",1883
"81",103,"Pulmonary heart disease",32
"82",104,"Other and ill-defined heart disease",5
"83",105,"Conduction disorders",23
"84",106,"Cardiac dysrhythmias",999
"85",107,"Cardiac arrest and ventricular fibrillation",103
"86",108,"Congestive heart failure; nonhypertensive",250
"87",109,"Acute cerebrovascular disease",173
"88",111,"Other and ill-defined cerebrovascular disease",1
"89",112,"Transient cerebral ischemia",49
"90",113,"Late effects of cerebrovascular disease",1
"91",114,"Peripheral and visceral atherosclerosis",12
"92",115,"Aortic; peripheral; and visceral artery aneurysms",21
"93",116,"Aortic and peripheral arterial embolism or thrombosis",2
"94",117,"Other circulatory disease",151
"95",118,"Phlebitis; thrombophlebitis and thromboembolism",83
"96",119,"Varicose veins of lower extremity",11
"97",120,"Hemorrhoids",73
"98",121,"Other diseases of veins and lymphatics",33
"99",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",1207
"100",123,"Influenza",607
"101",124,"Acute and chronic tonsillitis",525
"102",125,"Acute bronchitis",245
"103",126,"Other upper respiratory infections",2913
"104",127,"Chronic obstructive pulmonary disease and bronchiectasis",510
"105",128,"Asthma",315
"106",129,"Aspiration pneumonitis; food/vomitus",25
"107",130,"Pleurisy; pneumothorax; pulmonary collapse",56
"108",131,"Respiratory failure; insufficiency; arrest (adult)",12
"109",132,"Lung disease due to external agents",3
"110",133,"Other lower respiratory disease",1919
"111",134,"Other upper respiratory disease",380
"112",135,"Intestinal infection",556
"113",136,"Disorders of teeth and jaw",140
"114",137,"Diseases of mouth; excluding dental",139
"115",138,"Esophageal disorders",101
"116",139,"Gastroduodenal ulcer (except hemorrhage)",4
"117",140,"Gastritis and duodenitis",404
"118",141,"Other disorders of stomach and duodenum",12
"119",142,"Appendicitis and other appendiceal conditions",209
"120",143,"Abdominal hernia",71
"121",144,"Regional enteritis and ulcerative colitis",37
"122",145,"Intestinal obstruction without hernia",141
"123",146,"Diverticulosis and diverticulitis",87
"124",147,"Anal and rectal conditions",111
"125",148,"Peritonitis and intestinal abscess",17
"126",149,"Biliary tract disease",229
"127",151,"Other liver diseases",83
"128",152,"Pancreatic disorders (not diabetes)",84
"129",153,"Gastrointestinal hemorrhage",227
"130",154,"Noninfectious gastroenteritis",1614
"131",155,"Other gastrointestinal disorders",778
"132",156,"Nephritis; nephrosis; renal sclerosis",4
"133",157,"Acute and unspecified renal failure",153
"134",158,"Chronic kidney disease",17
"135",159,"Urinary tract infections",1316
"136",160,"Calculus of urinary tract",526
"137",161,"Other diseases of kidney and ureters",16
"138",162,"Other diseases of bladder and urethra",9
"139",163,"Genitourinary symptoms and ill-defined conditions",427
"140",164,"Hyperplasia of prostate",17
"141",165,"Inflammatory conditions of male genital organs",210
"142",166,"Other male genital disorders",103
"143",167,"Nonmalignant breast conditions",91
"144",168,"Inflammatory diseases of female pelvic organs",28
"145",169,"Endometriosis",9
"146",170,"Prolapse of female genital organs",5
"147",171,"Menstrual disorders",135
"148",172,"Ovarian cyst",47
"149",173,"Menopausal disorders",3
"150",174,"Female infertility",1
"151",175,"Other female genital disorders",353
"152",176,"Contraceptive and procreative management",1
"153",177,"Spontaneous abortion",66
"154",178,"Induced abortion",3
"155",180,"Ectopic pregnancy",20
"156",181,"Other complications of pregnancy",88
"157",182,"Hemorrhage during pregnancy; abruptio placenta; placenta previa",103
"158",183,"Hypertension complicating pregnancy; childbirth and the puerperium",3
"159",184,"Early or threatened labor",2
"160",189,"Previous C-section",1
"161",191,"Polyhydramnios and other problems of amniotic cavity",2
"162",195,"Other complications of birth; puerperium affecting management of mother",19
"163",196,"Normal pregnancy and/or delivery",6
"164",197,"Skin and subcutaneous tissue infections",822
"165",198,"Other inflammatory condition of skin",82
"166",199,"Chronic ulcer of skin",25
"167",200,"Other skin disorders",748
"168",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)",26
"169",202,"Rheumatoid arthritis and related disease",4
"170",203,"Osteoarthritis",49
