ccsCode,Chapter,ChapterDesc
1,1,Certain Infectious and parasitic diseases
2,1,Certain Infectious and parasitic diseases
3,1,Certain Infectious and parasitic diseases
4,1,Certain Infectious and parasitic diseases
5,1,Certain Infectious and parasitic diseases
6,1,Certain Infectious and parasitic diseases
7,1,Certain Infectious and parasitic diseases
8,1,Certain Infectious and parasitic diseases
9,1,Certain Infectious and parasitic diseases
10,1,Certain Infectious and parasitic diseases
11,2,Neoplasms
12,2,Neoplasms
13,2,Neoplasms
14,2,Neoplasms
15,2,Neoplasms
16,2,Neoplasms
17,2,Neoplasms
18,2,Neoplasms
19,2,Neoplasms
20,2,Neoplasms
21,2,Neoplasms
22,2,Neoplasms
23,2,Neoplasms
24,2,Neoplasms
25,2,Neoplasms
26,2,Neoplasms
27,2,Neoplasms
28,2,Neoplasms
29,2,Neoplasms
30,2,Neoplasms
31,2,Neoplasms
32,2,Neoplasms
33,2,Neoplasms
34,2,Neoplasms
35,2,Neoplasms
36,2,Neoplasms
37,2,Neoplasms
38,2,Neoplasms
39,2,Neoplasms
40,2,Neoplasms
41,2,Neoplasms
42,2,Neoplasms
43,2,Neoplasms
44,2,Neoplasms
45,2,Neoplasms
46,2,Neoplasms
47,2,Neoplasms
48,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
49,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
50,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
51,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
52,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
53,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
54,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
55,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
56,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
57,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
58,3,"Endocrine, nutritional, and metabolic diseases and immunity disorders"
59,4,Diseases of the blood and blood-forming organs
60,4,Diseases of the blood and blood-forming organs
61,4,Diseases of the blood and blood-forming organs
62,4,Diseases of the blood and blood-forming organs
63,4,Diseases of the blood and blood-forming organs
64,4,Diseases of the blood and blood-forming organs
650,5,mental disorder
651,5,mental disorder
652,5,mental disorder
653,5,mental disorder
654,5,mental disorder
655,5,mental disorder
6541,5,mental disorder
6571,5,mental disorder
6572,5,mental disorder
6632,5,mental disorder
6704,5,mental disorder
6706,5,mental disorder
6707,5,mental disorder
6709,5,mental disorder
656,5,mental disorder
657,5,mental disorder
658,5,mental disorder
659,5,mental disorder
660,5,mental disorder
661,5,mental disorder
662,5,mental disorder
663,5,mental disorder
670,5,mental disorder
76,6,Diseases of the nervous system and sense organs
77,6,Diseases of the nervous system and sense organs
78,6,Diseases of the nervous system and sense organs
79,6,Diseases of the nervous system and sense organs
80,6,Diseases of the nervous system and sense organs
81,6,Diseases of the nervous system and sense organs
82,6,Diseases of the nervous system and sense organs
83,6,Diseases of the nervous system and sense organs
84,6,Diseases of the nervous system and sense organs
85,6,Diseases of the nervous system and sense organs
86,6,Diseases of the nervous system and sense organs
87,6,Diseases of the nervous system and sense organs
88,6,Diseases of the nervous system and sense organs
89,6,Diseases of the nervous system and sense organs
90,6,Diseases of the nervous system and sense organs
91,6,Diseases of the nervous system and sense organs
92,6,Diseases of the nervous system and sense organs
93,6,Diseases of the nervous system and sense organs
94,6,Diseases of the nervous system and sense organs
95,6,Diseases of the nervous system and sense organs
96,7,Diseases of the circulatory system
97,7,Diseases of the circulatory system
98,7,Diseases of the circulatory system
99,7,Diseases of the circulatory system
100,7,Diseases of the circulatory system
101,7,Diseases of the circulatory system
102,7,Diseases of the circulatory system
103,7,Diseases of the circulatory system
104,7,Diseases of the circulatory system
105,7,Diseases of the circulatory system
106,7,Diseases of the circulatory system
107,7,Diseases of the circulatory system
108,7,Diseases of the circulatory system
109,7,Diseases of the circulatory system
110,7,Diseases of the circulatory system
111,7,Diseases of the circulatory system
112,7,Diseases of the circulatory system
113,7,Diseases of the circulatory system
114,7,Diseases of the circulatory system
115,7,Diseases of the circulatory system
116,7,Diseases of the circulatory system
117,7,Diseases of the circulatory system
118,7,Diseases of the circulatory system
119,7,Diseases of the circulatory system
120,7,Diseases of the circulatory system
121,7,Diseases of the circulatory system
122,8,Diseases of the respiratory system
123,8,Diseases of the respiratory system
124,8,Diseases of the respiratory system
125,8,Diseases of the respiratory system
126,8,Diseases of the respiratory system
127,8,Diseases of the respiratory system
128,8,Diseases of the respiratory system
129,8,Diseases of the respiratory system
130,8,Diseases of the respiratory system
131,8,Diseases of the respiratory system
132,8,Diseases of the respiratory system
133,8,Diseases of the respiratory system
134,8,Diseases of the respiratory system
135,9,Diseases of the digestive system
136,9,Diseases of the digestive system
137,9,Diseases of the digestive system
138,9,Diseases of the digestive system
139,9,Diseases of the digestive system
