"","ccsCode","ccsCodeDesc","count"
"1","1","Tuberculosis",5
"2","10","Immunizations and screening for infectious disease",4
"3","100","Acute myocardial infarction",77
"4","101","Coronary atherosclerosis and other heart disease",509
"5","102","Nonspecific chest pain",1123
"6","103","Pulmonary heart disease",8
"7","104","Other and ill-defined heart disease",1
"8","105","Conduction disorders",6
"9","106","Cardiac dysrhythmias",635
"10","107","Cardiac arrest and ventricular fibrillation",59
"11","108","Congestive heart failure; nonhypertensive",122
"12","109","Acute cerebrovascular disease",119
"13","11","Cancer of head and neck",2
"14","110","Occlusion or stenosis of precerebral arteries",6
"15","111","Other and ill-defined cerebrovascular disease",20
"16","112","Transient cerebral ischemia",36
"17","113","Late effects of cerebrovascular disease",4
"18","114","Peripheral and visceral atherosclerosis",9
"19","115","Aortic; peripheral; and visceral artery aneurysms",12
"20","116","Aortic and peripheral arterial embolism or thrombosis",11
"21","117","Other circulatory disease",81
"22","118","Phlebitis; thrombophlebitis and thromboembolism",27
"23","119","Varicose veins of lower extremity",6
"24","12","Cancer of esophagus",1
"25","120","Hemorrhoids",55
"26","121","Other diseases of veins and lymphatics",7
"27","122","Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",222
"28","123","Influenza",32
"29","124","Acute and chronic tonsillitis",173
"30","125","Acute bronchitis",25
"31","126","Other upper respiratory infections",855
"32","127","Chronic obstructive pulmonary disease and bronchiectasis",176
"33","128","Asthma",116
"34","129","Aspiration pneumonitis; food/vomitus",10
"35","13","Cancer of stomach",1
"36","130","Pleurisy; pneumothorax; pulmonary collapse",33
"37","131","Respiratory failure; insufficiency; arrest (adult)",7
"38","132","Lung disease due to external agents",3
"39","133","Other lower respiratory disease",1045
"40","134","Other upper respiratory disease",209
"41","135","Intestinal infection",202
"42","136","Disorders of teeth and jaw",41
"43","137","Diseases of mouth; excluding dental",30
"44","138","Esophageal disorders",63
"45","139","Gastroduodenal ulcer (except hemorrhage)",5
"46","140","Gastritis and duodenitis",93
"47","141","Other disorders of stomach and duodenum",11
"48","142","Appendicitis and other appendiceal conditions",80
"49","143","Abdominal hernia",49
"50","144","Regional enteritis and ulcerative colitis",20
"51","145","Intestinal obstruction without hernia",50
"52","146","Diverticulosis and diverticulitis",35
"53","147","Anal and rectal conditions",73
"54","148","Peritonitis and intestinal abscess",3
"55","149","Biliary tract disease",162
"56","151","Other liver diseases",56
"57","152","Pancreatic disorders (not diabetes)",18
"58","153","Gastrointestinal hemorrhage",79
"59","154","Noninfectious gastroenteritis",860
"60","155","Other gastrointestinal disorders",513
"61","156","Nephritis; nephrosis; renal sclerosis",2
"62","157","Acute and unspecified renal failure",33
"63","158","Chronic kidney disease",53
"64","159","Urinary tract infections",360
"65","16","Cancer of liver and intrahepatic bile duct",13
"66","160","Calculus of urinary tract",322
"67","161","Other diseases of kidney and ureters",13
"68","162","Other diseases of bladder and urethra",3
"69","163","Genitourinary symptoms and ill-defined conditions",339
"70","164","Hyperplasia of prostate",25
"71","165","Inflammatory conditions of male genital organs",48
"72","166","Other male genital disorders",41
"73","167","Nonmalignant breast conditions",21
"74","168","Inflammatory diseases of female pelvic organs",21
"75","169","Endometriosis",5
"76","171","Menstrual disorders",75
"77","172","Ovarian cyst",19
"78","173","Menopausal disorders",4
"79","175","Other female genital disorders",78
"80","177","Spontaneous abortion",4
"81","178","Induced abortion",41
"82","18","Cancer of other GI organs; peritoneum",3
"83","180","Ectopic pregnancy",8
"84","181","Other complications of pregnancy",152
"85","182","Hemorrhage during pregnancy; abruptio placenta; placenta previa",111
"86","183","Hypertension complicating pregnancy; childbirth and the puerperium",2
"87","184","Early or threatened labor",3
"88","187","Malposition; malpresentation",1
"89","188","Fetopelvic disproportion; obstruction",3
"90","19","Cancer of bronchus; lung",12
"91","191","Polyhydramnios and other problems of amniotic cavity",3
"92","195","Other complications of birth; puerperium affecting management of mother",20
"93","196","Other pregnancy and delivery including normal",10
"94","197","Skin and subcutaneous tissue infections",332
"95","198","Other inflammatory condition of skin",35
"96","199","Chronic ulcer of skin",10
"97","2","Septicemia (except in labor)",41
"98","200","Other skin disorders",240
"99","201","Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)",8
"100","202","Rheumatoid arthritis and related disease",11
"101","203","Osteoarthritis",14
"102","204","Other non-traumatic joint disorders",383
"103","205","Spondylosis; intervertebral disc disorders; other back problems",829
"104","206","Osteoporosis",5
"105","207","Pathological fracture",12
"106","208","Acquired foot deformities",1
"107","209","Other acquired deformities",3
"108","210","Systemic lupus erythematosus and connective tissue disorders",8
"109","211","Other connective tissue disease",665
"110","212","Other bone disease and musculoskeletal deformities",15
"111","213","Cardiac and circulatory congenital anomalies",9
"112","215","Genitourinary congenital anomalies",2
"113","217","Other congenital anomalies",9
"114","225","Joint disorders and dislocations; trauma-related",61
"115","226","Fracture of neck of femur (hip)",78
"116","227","Spinal cord injury",3
"117","228","Skull and face fractures",55
"118","229","Fracture of upper limb",400
"119","23","Other non-epithelial cancer of skin",17
"120","230","Fracture of lower limb",336
"121","231","Other fractures",67
"122","232","Sprains and strains",278
"123","233","Intracranial injury",78
"124","234","Crushing injury or internal injury",12
"125","235","Open wounds of head; neck; and trunk",402
"126","236","Open wounds of extremities",676
"127","237","Complication of device; implant or graft",63
"128","238","Complications of surgical procedures or medical care",211
"129","239","Superficial injury; contusion",415
"130","24","Cancer of breast",30
"131","240","Burns",101
"132","241","Poisoning by psychotropic agents",31
"133","242","Poisoning by other medications and drugs",79
"134","243","Poisoning by nonmedicinal substances",51
