"","ccsCodeDesc","0-5","13-18","19-44","45-64","6-12",">65","<NA>"
"1","Abdominal hernia",12,NA,23,11,NA,25,NA
"2","Abdominal pain",69,162,1583,611,189,325,NA
"3","Acquired foot deformities",NA,NA,NA,1,NA,3,NA
"4","Acute and chronic tonsillitis",173,28,164,19,131,3,NA
"5","Acute and unspecified renal failure",1,2,14,27,NA,100,NA
"6","Acute bronchitis",125,2,55,28,7,26,NA
"7","Acute cerebrovascular disease",NA,NA,12,43,1,107,NA
"8","Acute myocardial infarction",NA,NA,12,56,NA,75,NA
"9","Acute posthemorrhagic anemia",NA,NA,NA,NA,NA,NA,NA
"10","Adjustment disorders",NA,NA,21,8,NA,1,NA
"11","Administrative/social admission",2,2,7,3,NA,2,NA
"12","Adverse effects of medical care",NA,NA,NA,1,NA,NA,NA
"13","Adverse effects of medical drugs",4,1,3,5,2,1,NA
"14","Alcohol-related disorders",NA,5,69,11,NA,NA,NA
"15","Allergic reactions",68,30,217,73,54,34,NA
"16","Anal and rectal conditions",5,4,49,28,5,15,NA
"17","Anxiety disorders",17,30,416,77,2,8,NA
"18","Aortic and peripheral arterial embolism or thrombosis",NA,NA,NA,1,NA,1,NA
"19","Aortic; peripheral; and visceral artery aneurysms",NA,NA,1,2,NA,18,NA
"20","Appendicitis and other appendiceal conditions",NA,27,106,34,25,9,NA
"21","Aspiration pneumonitis; food/vomitus",2,NA,1,2,NA,19,NA
"22","Asthma",85,27,85,24,69,20,NA
"23","Attention-deficit conduct and disruptive behavior disorders",1,3,5,NA,1,NA,NA
"24","Bacterial infection; unspecified site",17,3,10,4,4,6,NA
"25","Benign neoplasm of uterus",NA,NA,4,1,NA,NA,NA
"26","Biliary tract disease",1,3,76,65,NA,77,NA
"27","Bipolar disorders",NA,NA,NA,NA,NA,NA,NA
"28","Birth trauma",1,NA,NA,1,NA,NA,NA
"29","Blindness and vision defects",NA,3,20,6,1,8,NA
"30","Burns",33,6,70,22,7,15,NA
"31","Calculus of urinary tract",NA,15,249,203,2,43,NA
"32","Cancer of bladder",NA,NA,NA,1,NA,1,NA
"33","Cancer of bone and connective tissue",NA,2,NA,NA,NA,1,NA
"34","Cancer of brain and nervous system",1,NA,NA,1,NA,NA,NA
"35","Cancer of breast",NA,NA,1,5,NA,NA,NA
"36","Cancer of bronchus; lung",NA,NA,NA,8,NA,7,NA
"37","Cancer of cervix",NA,NA,NA,NA,NA,NA,NA
"38","Cancer of colon",NA,NA,1,NA,NA,1,NA
"39","Cancer of esophagus",NA,NA,1,NA,NA,NA,NA
"40","Cancer of head and neck",NA,NA,NA,NA,NA,1,NA
"41","Cancer of kidney and renal pelvis",NA,NA,NA,NA,2,2,NA
"42","Cancer of liver and intrahepatic bile duct",NA,NA,1,1,NA,2,NA
"43","Cancer of other GI organs; peritoneum",NA,NA,NA,1,NA,1,NA
"44","Cancer of other urinary organs",NA,NA,NA,NA,NA,1,NA
"45","Cancer of ovary",NA,NA,NA,2,NA,NA,NA
"46","Cancer of pancreas",NA,NA,1,6,NA,3,NA
"47","Cancer of prostate",NA,NA,NA,1,NA,4,NA
"48","Cancer of rectum and anus",NA,NA,NA,1,NA,1,NA
"49","Cancer of stomach",NA,NA,NA,1,NA,2,NA
"50","Cancer of testis",NA,NA,NA,NA,NA,NA,NA
"51","Cancer of thyroid",NA,NA,1,NA,NA,NA,NA
"52","Cancer of uterus",NA,NA,NA,NA,NA,NA,NA
"53","Cancer; other and unspecified primary",1,NA,1,NA,4,NA,NA
"54","Cardiac and circulatory congenital anomalies",11,NA,NA,1,1,NA,NA
"55","Cardiac arrest and ventricular fibrillation",2,1,9,15,NA,70,NA
"56","Cardiac dysrhythmias",12,34,452,210,19,236,NA
"57","Cataract",NA,NA,NA,NA,NA,1,NA
"58","Chronic kidney disease",NA,2,2,3,NA,8,NA
